id;tracking_code;date;details
1;global;2019-06-26T09:52:24;Moroccan Dirham
2;Springs connecting;2019-06-26T05:12:44;connecting Planner Refined
3;engage Granite Grocery;2019-06-25T18:28:32;Credit Card Account transmitter cyan
4;Checking Account;2019-06-25T13:04:04;Home Loan Account withdrawal
5;partnerships International;2019-06-26T04:14:27;Berkshire solid state
6;middleware Switzerland;2019-06-25T19:51:20;back-end Via indexing
7;Business-focused Canyon Orchestrator;2019-06-26T00:46:34;concept payment
8;robust;2019-06-25T23:42:16;Creek
9;Shirt Metal;2019-06-25T21:13:05;Chicken
10;e-business RSS;2019-06-26T00:14:00;Officer Savings Account Automated
